Source Name	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Comment[EGA_SAMPLE]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[cell line]	Characteristics[organism part]	Characteristics[disease]	Characteristics[sex]	Characteristics[metastasis site]	Comment[COSMIC_ID]	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Comment[EGA_EXPERIMENT]	Scan Name	Comment[ENA_RUN]	Comment[EGA_RUN]	Comment[SUBMITTED_FILE_NAME]	Comment[ANALYSIS_FILE_NAME]	Factor Value[cell line]	Factor Value[organism part]	Factor Value[disease]
GI-ME-N	  	  	EGAN00001266108	Homo sapiens	NCBI Taxonomy	9606	GI-ME-N	brain	neuroblastoma	female	bone marrow	906872	P-MTAB-68143	Extract_GI-ME-N	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_GI-ME-N	sequencing assay	  	  	ERR964239	ERR964239	EGAR00001340387	15921_3.cram	HUMAN_37_RNA_seq_GI-ME-N_15921_3.ua.bam	GI-ME-N	brain	neuroblastoma
GOTO	  	  	EGAN00001266109	Homo sapiens	NCBI Taxonomy	9606	GOTO	peripheral nervous system	adrenal gland neuroblastoma	male	  	906875	P-MTAB-68143	Extract_GOTO	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_GOTO	sequencing assay	  	  	ERR964240	ERR964240	EGAR00001340388	15921_4.cram	HUMAN_37_RNA_seq_GOTO_15921_4.ua.bam	GOTO	peripheral nervous system	adrenal gland neuroblastoma
GP5d	GP5d-sc-1971643	ERS462754	EGAN00001202152	Homo sapiens	NCBI Taxonomy	9606	GP5d	large intestine	colorectal adenocarcinoma	female	  	907291	P-MTAB-68143	10923749_ERX636398	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636398	sequencing assay	ERX636398	EGAX00001240310	ERR691418	ERR691418	EGAR00001265528	13667_6.cram	HUMAN_37_RNA_seq_GP5d_13667_6.ua.bam	GP5d	large intestine	colorectal adenocarcinoma
GR-ST	  	  	EGAN00001266110	Homo sapiens	NCBI Taxonomy	9606	GR-ST	hematopoietic system	acute lymphoblastic leukemia	male	  	906877	P-MTAB-68143	Extract_GR-ST	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_GR-ST	sequencing assay	  	  	ERR964241	ERR964241	EGAR00001340389	15921_5.cram	HUMAN_37_RNA_seq_GR-ST_15921_5.ua.bam	GR-ST	hematopoietic system	acute lymphoblastic leukemia
GT3TKB	  	  	EGAN00001266111	Homo sapiens	NCBI Taxonomy	9606	GT3TKB	stomach	gastric adenocarcinoma	male	  	907041	P-MTAB-68143	Extract_GT3TKB	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_GT3TKB	sequencing assay	  	  	ERR964242	ERR964242	EGAR00001340390	15921_6.cram	HUMAN_37_RNA_seq_GT3TKB_15921_6.ua.bam	GT3TKB	stomach	gastric adenocarcinoma
H-EMC-SS	H_EMC_SS-sc-2188520	ERS622661	EGAN00001252836	Homo sapiens	NCBI Taxonomy	9606	H-EMC-SS	bone	chondrosarcoma	female	  	907290	P-MTAB-68143	12974897_ERX979529	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979529	sequencing assay	ERX979529	EGAX00001300751	ERR900140	ERR900140	EGAR00001329465	15545_2.cram	HUMAN_37_RNA_seq_H-EMC-SS_15545_2.ua.bam	H-EMC-SS	bone	chondrosarcoma
H2369	H2369-sc-1971644	ERS462755	EGAN00001202153	Homo sapiens	NCBI Taxonomy	9606	H2369	lung	mesothelioma	not available	  	1290808	P-MTAB-68143	10432783_ERX627729	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627729	sequencing assay	ERX627729	EGAX00001237082	ERR672751	ERR672751	EGAR00001252176	13226_2.cram	HUMAN_37_RNA_seq_H2369_13226_2.ua.bam	H2369	lung	mesothelioma
H2373	H2373-sc-1971645	ERS462756	EGAN00001202154	Homo sapiens	NCBI Taxonomy	9606	H2373	lung	mesothelioma	not available	  	1290809	P-MTAB-68143	10432784_ERX627730	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627730	sequencing assay	ERX627730	EGAX00001237083	ERR672752	ERR672752	EGAR00001252177	13226_3.cram	HUMAN_37_RNA_seq_H2373_13226_3.ua.bam	H2373	lung	mesothelioma
H2461	H2461-sc-1971646	ERS462757	EGAN00001202155	Homo sapiens	NCBI Taxonomy	9606	H2461	lung	mesothelioma	not available	  	1290810	P-MTAB-68143	10432785_ERX627731	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627731	sequencing assay	ERX627731	EGAX00001237084	ERR672753	ERR672753	EGAR00001252178	13226_4.cram	HUMAN_37_RNA_seq_H2461_13226_4.ua.bam	H2461	lung	mesothelioma
H2591	H2591-sc-1971647	ERS462758	EGAN00001202156	Homo sapiens	NCBI Taxonomy	9606	H2591	lung	mesothelioma	not available	  	1240131	P-MTAB-68143	10432786_ERX627732	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627732	sequencing assay	ERX627732	EGAX00001237085	ERR672754	ERR672754	EGAR00001252179	13226_5.cram	HUMAN_37_RNA_seq_H2591_13226_5.ua.bam	H2591	lung	mesothelioma
H2595	H2595-sc-1971648	ERS462759	EGAN00001202157	Homo sapiens	NCBI Taxonomy	9606	H2595	lung	mesothelioma	not available	  	1240132	P-MTAB-68143	10432787_ERX627733	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627733	sequencing assay	ERX627733	EGAX00001237086	ERR672755	ERR672755	EGAR00001252180	13226_6.cram	HUMAN_37_RNA_seq_H2595_13226_6.ua.bam	H2595	lung	mesothelioma
H2722	H2722-sc-1971649	ERS462760	EGAN00001202158	Homo sapiens	NCBI Taxonomy	9606	H2722	lung	mesothelioma	not available	  	1290812	P-MTAB-68143	10432788_ERX627734	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627734	sequencing assay	ERX627734	EGAX00001237087	ERR672756	ERR672756	EGAR00001252181	13226_7.cram	HUMAN_37_RNA_seq_H2722_13226_7.ua.bam	H2722	lung	mesothelioma
H2731	H2731-sc-1971650	ERS462761	EGAN00001202159	Homo sapiens	NCBI Taxonomy	9606	H2731	lung	mesothelioma	not available	  	1240134	P-MTAB-68143	10432789_ERX627735	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627735	sequencing assay	ERX627735	EGAX00001237088	ERR672757	ERR672757	EGAR00001252182	13226_8.cram	HUMAN_37_RNA_seq_H2731_13226_8.ua.bam	H2731	lung	mesothelioma
H2795	H2795-sc-1971651	ERS462762	EGAN00001202160	Homo sapiens	NCBI Taxonomy	9606	H2795	lung	mesothelioma	not available	  	1290813	P-MTAB-68143	10432790_ERX627736	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627736	sequencing assay	ERX627736	EGAX00001237089	ERR672758	ERR672758	EGAR00001252183	13265_1.cram	HUMAN_37_RNA_seq_H2795_13265_1.ua.bam	H2795	lung	mesothelioma
H2803	H2803-sc-1971652	ERS462763	EGAN00001202161	Homo sapiens	NCBI Taxonomy	9606	H2803	lung	mesothelioma	not available	  	1240135	P-MTAB-68143	10432791_ERX627737	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627737	sequencing assay	ERX627737	EGAX00001237090	ERR672759	ERR672759	EGAR00001252184	13265_2.cram	HUMAN_37_RNA_seq_H2803_13265_2.ua.bam	H2803	lung	mesothelioma
H2804	H2804-sc-1971653	ERS462764	EGAN00001202162	Homo sapiens	NCBI Taxonomy	9606	H2804	lung	mesothelioma	not available	  	1240136	P-MTAB-68143	10432792_ERX627738	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627738	sequencing assay	ERX627738	EGAX00001237091	ERR672760	ERR672760	EGAR00001252185	13265_3.cram	HUMAN_37_RNA_seq_H2804_13265_3.ua.bam	H2804	lung	mesothelioma
H2810	H2810-sc-1971654	ERS462765	EGAN00001202163	Homo sapiens	NCBI Taxonomy	9606	H2810	lung	mesothelioma	not available	  	1240137	P-MTAB-68143	10432793_ERX627739	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627739	sequencing assay	ERX627739	EGAX00001237092	ERR672761	ERR672761	EGAR00001252186	13265_4.cram	HUMAN_37_RNA_seq_H2810_13265_4.ua.bam	H2810	lung	mesothelioma
H2818	H2818-sc-1971655	ERS462766	EGAN00001202164	Homo sapiens	NCBI Taxonomy	9606	H2818	lung	mesothelioma	not available	  	1290814	P-MTAB-68143	10432794_ERX627740	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627740	sequencing assay	ERX627740	EGAX00001237093	ERR672762	ERR672762	EGAR00001252187	13265_5.cram	HUMAN_37_RNA_seq_H2818_13265_5.ua.bam	H2818	lung	mesothelioma
H2869	H2869-sc-1971656	ERS462767	EGAN00001202165	Homo sapiens	NCBI Taxonomy	9606	H2869	lung	mesothelioma	not available	  	1240138	P-MTAB-68143	10432795_ERX627741	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627741	sequencing assay	ERX627741	EGAX00001237094	ERR672763	ERR672763	EGAR00001252188	13265_6.cram	HUMAN_37_RNA_seq_H2869_13265_6.ua.bam	H2869	lung	mesothelioma
H290	H290-sc-1971657	ERS462768	EGAN00001202166	Homo sapiens	NCBI Taxonomy	9606	H290	lung	mesothelioma	not available	  	1240139	P-MTAB-68143	10432796_ERX627742	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627742	sequencing assay	ERX627742	EGAX00001237095	ERR672764	ERR672764	EGAR00001252189	13265_7.cram	HUMAN_37_RNA_seq_H290_13265_7.ua.bam	H290	lung	mesothelioma
H3118	  	  	EGAN00001266112	Homo sapiens	NCBI Taxonomy	9606	H3118	mucosa	salivary gland neoplasm	female	  	1240140	P-MTAB-68143	Extract_H3118	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_H3118	sequencing assay	  	  	ERR964243	ERR964243	EGAR00001340391	15921_7.cram	HUMAN_37_RNA_seq_H3118_15921_7.ua.bam	H3118	mucosa	salivary gland neoplasm
H513	H513-sc-1971658	ERS462769	EGAN00001202167	Homo sapiens	NCBI Taxonomy	9606	H513	lung	mesothelioma	not available	  	1240141	P-MTAB-68143	10432797_ERX627743	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627743	sequencing assay	ERX627743	EGAX00001237096	ERR672765	ERR672765	EGAR00001252190	13265_8.cram	HUMAN_37_RNA_seq_H513_13265_8.ua.bam	H513	lung	mesothelioma
H9	  	  	EGAN00001266113	Homo sapiens	NCBI Taxonomy	9606	H9	hematopoietic system	cutaneous T-cell lymphoma	male	  	907043	P-MTAB-68143	Extract_H9	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_H9	sequencing assay	  	  	ERR964244	ERR964244	EGAR00001340392	15921_8.cram	HUMAN_37_RNA_seq_H9_15921_8.ua.bam	H9	hematopoietic system	cutaneous T-cell lymphoma
HA7-RCC	HA7_RCC-sc-2188538	ERS622679	EGAN00001252854	Homo sapiens	NCBI Taxonomy	9606	HA7-RCC	kidney	clear cell renal carcinoma	male	  	753558	P-MTAB-68143	12974915_ERX979539	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979539	sequencing assay	ERX979539	EGAX00001300761	ERR900150	ERR900150	EGAR00001329475	15550_4.cram	HUMAN_37_RNA_seq_HA7-RCC_15550_4.ua.bam	HA7-RCC	kidney	clear cell renal carcinoma
HAL	HAL-sc-2152827	ERS570553	EGAN00001236648	Homo sapiens	NCBI Taxonomy	9606	HAL	bone	osteosarcoma	not available	  	not available	P-MTAB-68143	12341572_ERX716528	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX716528	sequencing assay	ERX716528	EGAX00001274805	ERR773649	ERR773649	EGAR00001302643	14771_5.cram	HUMAN_37_RNA_seq_HAL_14771_5.ua.bam	HAL	bone	osteosarcoma
HAL-01	  	  	EGAN00001266114	Homo sapiens	NCBI Taxonomy	9606	HAL-01	hematopoietic system	acute lymphoblastic leukemia	female	  	949153	P-MTAB-68143	Extract_HAL-01	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HAL-01	sequencing assay	  	  	ERR964245	ERR964245	EGAR00001340393	15922_1.cram	HUMAN_37_RNA_seq_HAL-01_15922_1.ua.bam	HAL-01	hematopoietic system	acute lymphoblastic leukemia
HC-1	  	  	EGAN00001266115	Homo sapiens	NCBI Taxonomy	9606	HC-1	hematopoietic system	hairy cell leukemia	male	  	907044	P-MTAB-68143	Extract_HC-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HC-1	sequencing assay	  	  	ERR964246	ERR964246	EGAR00001340394	15922_2.cram	HUMAN_37_RNA_seq_HC-1_15922_2.ua.bam	HC-1	hematopoietic system	hairy cell leukemia
HCC1187	HCC1187-sc-2013144	ERS499881	EGAN00001209141	Homo sapiens	NCBI Taxonomy	9606	HCC1187	breast	ductal carcinoma	female	  	749711	P-MTAB-68143	11005716_ERX631280	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX631280	sequencing assay	ERX631280	EGAX00001238884	ERR676313	ERR676313	EGAR00001253984	13617_1.cram	HUMAN_37_RNA_seq_HCC1187_13617_1.ua.bam	HCC1187	breast	ductal carcinoma
HCC1806	HCC1806-sc-2013145	ERS499882	EGAN00001209142	Homo sapiens	NCBI Taxonomy	9606	HCC1806	breast	squamous cell breast carcinoma	female	  	907047	P-MTAB-68143	11005721_ERX631281	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX631281	sequencing assay	ERX631281	EGAX00001238885	ERR676314	ERR676314	EGAR00001253985	13617_2.cram	HUMAN_37_RNA_seq_HCC1806_13617_2.ua.bam	HCC1806	breast	squamous cell breast carcinoma
HCC2998	HCC2998-sc-1971659	ERS462770	EGAN00001202168	Homo sapiens	NCBI Taxonomy	9606	HCC2998	large intestine	colorectal adenocarcinoma	male	  	905971	P-MTAB-68143	10923750_ERX636399	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636399	sequencing assay	ERX636399	EGAX00001240311	ERR691419	ERR691419	EGAR00001265529	13667_7.cram	HUMAN_37_RNA_seq_HCC2998_13667_7.ua.bam	HCC2998	large intestine	colorectal adenocarcinoma
HCE-4	  	  	EGAN00001266116	Homo sapiens	NCBI Taxonomy	9606	HCE-4	esophagus	esophageal carcinoma	not available	  	753559	P-MTAB-68143	Extract_HCE-4	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HCE-4	sequencing assay	  	  	ERR964247	ERR964247	EGAR00001340395	15922_3.cram	HUMAN_37_RNA_seq_HCE-4_15922_3.ua.bam	HCE-4	esophagus	esophageal carcinoma
HCT-116	HCT_116-sc-1971660	ERS462771	EGAN00001202169	Homo sapiens	NCBI Taxonomy	9606	HCT-116	large intestine	colorectal adenocarcinoma	male	  	905936	P-MTAB-68143	10432798_ERX627744	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627744	sequencing assay	ERX627744	EGAX00001237097	ERR672766	ERR672766	EGAR00001252191	13305_1.cram	HUMAN_37_RNA_seq_HCT-116_13305_1.ua.bam	HCT-116	large intestine	colorectal adenocarcinoma
HCT-15	HCT_15-sc-1971661	ERS462772	EGAN00001202170	Homo sapiens	NCBI Taxonomy	9606	HCT-15	large intestine	colorectal adenocarcinoma	male	  	905937	P-MTAB-68143	10923751_ERX636400	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX636400	sequencing assay	ERX636400	EGAX00001240312	ERR691420	ERR691420	EGAR00001265530	13667_8.cram	HUMAN_37_RNA_seq_HCT-15_13667_8.ua.bam	HCT-15	large intestine	colorectal adenocarcinoma
HDLM-2	  	  	EGAN00001266117	Homo sapiens	NCBI Taxonomy	9606	HDLM-2	hematopoietic system	Hodgkins lymphoma	male	  	924110	P-MTAB-68143	Extract_HDLM-2	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HDLM-2	sequencing assay	  	  	ERR964248	ERR964248	EGAR00001340396	15922_4.cram	HUMAN_37_RNA_seq_HDLM-2_15922_4.ua.bam	HDLM-2	hematopoietic system	Hodgkins lymphoma
HEC-1	  	  	EGAN00001266118	Homo sapiens	NCBI Taxonomy	9606	HEC-1	uterus	endometrial adenocarcinoma	female	  	907051	P-MTAB-68143	Extract_HEC-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HEC-1	sequencing assay	  	  	ERR964249	ERR964249	EGAR00001340397	15922_5.cram	HUMAN_37_RNA_seq_HEC-1_15922_5.ua.bam	HEC-1	uterus	endometrial adenocarcinoma
HeLa	  	  	EGAN00001266119	Homo sapiens	NCBI Taxonomy	9606	HeLa	uterine cervix	cervical carcinoma	female	  	1298134	P-MTAB-68143	Extract_HeLa	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HeLa	sequencing assay	  	  	ERR964250	ERR964250	EGAR00001340398	15922_6.cram	HUMAN_37_RNA_seq_HeLa_15922_6.ua.bam	HeLa	uterine cervix	cervical carcinoma
Hey	  	  	EGAN00001266120	Homo sapiens	NCBI Taxonomy	9606	Hey	ovary	ovarian carcinoma	female	  	1479988	P-MTAB-68143	Extract_Hey	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Hey	sequencing assay	  	  	ERR964251	ERR964251	EGAR00001340399	15922_7.cram	HUMAN_37_RNA_seq_Hey_15922_7.ua.bam	Hey	ovary	ovarian carcinoma
HLE	  	  	EGAN00001266121	Homo sapiens	NCBI Taxonomy	9606	HLE	liver	hepatocellular carcinoma	not available	  	907057	P-MTAB-68143	Extract_HLE	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HLE	sequencing assay	  	  	ERR964252	ERR964252	EGAR00001340400	15922_8.cram	HUMAN_37_RNA_seq_HLE_15922_8.ua.bam	HLE	liver	hepatocellular carcinoma
HLE	  	  	EGAN00001266121	Homo sapiens	NCBI Taxonomy	9606	HLE	liver	hepatocellular carcinoma	not available	  	907057	P-MTAB-68143	Extract_HLE	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HLE	sequencing assay	  	  	ERR966519	ERR966519	EGAR00001340653	15996_6.cram	HUMAN_37_RNA_seq_HLE_15996_6.ua.bam	HLE	liver	hepatocellular carcinoma
HMV-II	HMV_II-sc-2188521	ERS622662	EGAN00001252837	Homo sapiens	NCBI Taxonomy	9606	HMV-II	skin	melanoma	female	  	907058	P-MTAB-68143	12974898_ERX979530	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979530	sequencing assay	ERX979530	EGAX00001300752	ERR900141	ERR900141	EGAR00001329466	15545_3.cram	HUMAN_37_RNA_seq_HMV-II_15545_3.ua.bam	HMV-II	skin	melanoma
HN	  	  	EGAN00001266122	Homo sapiens	NCBI Taxonomy	9606	HN	mucosa	head and neck squamous cell carcinoma	male	  	907059	P-MTAB-68143	Extract_HN	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HN	sequencing assay	  	  	ERR964253	ERR964253	EGAR00001340401	15937_1.cram	HUMAN_37_RNA_seq_HN_15937_1.ua.bam	HN	mucosa	head and neck squamous cell carcinoma
HO-1-N-1	  	  	EGAN00001266123	Homo sapiens	NCBI Taxonomy	9606	HO-1-N-1	mucosa	head and neck squamous cell carcinoma	not available	  	924111	P-MTAB-68143	Extract_HO-1-N-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HO-1-N-1	sequencing assay	  	  	ERR964254	ERR964254	EGAR00001340402	15937_2.cram	HUMAN_37_RNA_seq_HO-1-N-1_15937_2.ua.bam	HO-1-N-1	mucosa	head and neck squamous cell carcinoma
HO-1-u-1	  	  	EGAN00001266124	Homo sapiens	NCBI Taxonomy	9606	HO-1-u-1	mucosa	head and neck squamous cell carcinoma	not available	  	753561	P-MTAB-68143	Extract_HO-1-u-1	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HO-1-u-1	sequencing assay	  	  	ERR964255	ERR964255	EGAR00001340403	15937_3.cram	HUMAN_37_RNA_seq_HO-1-u-1_15937_3.ua.bam	HO-1-u-1	mucosa	head and neck squamous cell carcinoma
HOSMNNG	HOSMNNG-sc-2152825	ERS570551	EGAN00001236646	Homo sapiens	NCBI Taxonomy	9606	HOSMNNG	bone	osteosarcoma	not available	  	not available	P-MTAB-68143	12341570_ERX716526	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX716526	sequencing assay	ERX716526	EGAX00001274803	ERR773647	ERR773647	EGAR00001302641	14771_3.cram	HUMAN_37_RNA_seq_HOSMNNG_14771_3.ua.bam	HOSMNNG	bone	osteosarcoma
Hs-445	  	  	EGAN00001266125	Homo sapiens	NCBI Taxonomy	9606	Hs-445	hematopoietic system	Hodgkins lymphoma	female	  	1322218	P-MTAB-68143	Extract_Hs-445	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Hs-445	sequencing assay	  	  	ERR964256	ERR964256	EGAR00001340404	15937_4.cram	HUMAN_37_RNA_seq_Hs-445_15937_4.ua.bam	Hs-445	hematopoietic system	Hodgkins lymphoma
Hs633T	  	  	EGAN00001266126	Homo sapiens	NCBI Taxonomy	9606	Hs633T	connective tissue	fibrosarcoma	not available	  	1240149	P-MTAB-68143	Extract_Hs633T	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_Hs633T	sequencing assay	  	  	ERR964257	ERR964257	EGAR00001340405	15937_5.cram	HUMAN_37_RNA_seq_Hs633T_15937_5.ua.bam	Hs633T	connective tissue	fibrosarcoma
HSC-39	  	  	EGAN00001266127	Homo sapiens	NCBI Taxonomy	9606	HSC-39	stomach	gastric adenocarcinoma	male	  	1322224	P-MTAB-68143	Extract_HSC-39	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HSC-39	sequencing assay	  	  	ERR964258	ERR964258	EGAR00001340406	15937_6.cram	HUMAN_37_RNA_seq_HSC-39_15937_6.ua.bam	HSC-39	stomach	gastric adenocarcinoma
HT-115	HT_115-sc-1971662	ERS462773	EGAN00001202171	Homo sapiens	NCBI Taxonomy	9606	HT-115	large intestine	colorectal adenocarcinoma	not available	  	907289	P-MTAB-68143	10923752_ERX638807	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX638807	sequencing assay	ERX638807	EGAX00001242584	ERR693827	ERR693827	EGAR00001267802	13750_4.cram	HUMAN_37_RNA_seq_HT-115_13750_4.ua.bam	HT-115	large intestine	colorectal adenocarcinoma
HT-29	HT_29-sc-1971663	ERS462774	EGAN00001202172	Homo sapiens	NCBI Taxonomy	9606	HT-29	large intestine	colorectal adenocarcinoma	female	  	905939	P-MTAB-68143	10432799_ERX627745	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX627745	sequencing assay	ERX627745	EGAX00001237098	ERR672767	ERR672767	EGAR00001252192	13305_2.cram	HUMAN_37_RNA_seq_HT-29_13305_2.ua.bam	HT-29	large intestine	colorectal adenocarcinoma
HT-3	  	  	EGAN00001266128	Homo sapiens	NCBI Taxonomy	9606	HT-3	uterine cervix	cervical carcinoma	female	  	907068	P-MTAB-68143	Extract_HT-3	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HT-3	sequencing assay	  	  	ERR964259	ERR964259	EGAR00001340407	15937_7.cram	HUMAN_37_RNA_seq_HT-3_15937_7.ua.bam	HT-3	uterine cervix	cervical carcinoma
HT55	HT55-sc-1971664	ERS462775	EGAN00001202173	Homo sapiens	NCBI Taxonomy	9606	HT55	large intestine	colorectal adenocarcinoma	not available	  	907287	P-MTAB-68143	10923753_ERX638808	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX638808	sequencing assay	ERX638808	EGAX00001242585	ERR693828	ERR693828	EGAR00001267803	13750_5.cram	HUMAN_37_RNA_seq_HT55_13750_5.ua.bam	HT55	large intestine	colorectal adenocarcinoma
HTC-C3	HTC_C3-sc-2188539	ERS622680	EGAN00001252855	Homo sapiens	NCBI Taxonomy	9606	HTC-C3	thyroid gland	thyroid carcinoma	female	  	924151	P-MTAB-68143	12974916_ERX979540	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	ERX979540	sequencing assay	ERX979540	EGAX00001300762	ERR900151	ERR900151	EGAR00001329476	15550_5.cram	HUMAN_37_RNA_seq_HTC-C3_15550_5.ua.bam	HTC-C3	thyroid gland	thyroid carcinoma
HUH-6-clone5	  	  	EGAN00001266129	Homo sapiens	NCBI Taxonomy	9606	HUH-6-clone5	liver	hepatocellular carcinoma	male	  	907070	P-MTAB-68143	Extract_HUH-6-clone5	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-68142	SC	Assay_HUH-6-clone5	sequencing assay	  	  	ERR964260	ERR964260	EGAR00001340408	15937_8.cram	HUMAN_37_RNA_seq_HUH-6-clone5_15937_8.ua.bam	HUH-6-clone5	liver	hepatocellular carcinoma
